participantId	enrollmentState	successfulRatingNeededToEarnIn	timestampOfLastStateChange	timestampOfLastEarnOut
7F0B1D3C9D7AAD8EA3140463AEDAA1A228713072A5CB8C2C2C1FC1AFFD4FC77C	newUser	5	1673386315223	1
BF677206B7D2DD0210170D6E1C904E31EA687278C754F16754BCE21749329137	newUser	5	1673386315223	1
C37C0F9419A6A962EE5B5DF9D8D5F2D8B85ADA5E4113509B8A38D816D3608545	newUser	5	1673386315223	1
2A0CDB8A6153F2321A9B92571495767F62268E848C541BDB8C624312575E6712	newUser	5	1673386315223	1
49A8EBAE22F04DE91D221479F2149DDDF5BFF67EA5FB8052BCF4018241FD6514	newUser	5	1673386315223	1
73E7D223FEBA780C59EF91BB397E14545631AD13CE8D97830976DC6D34F195DE	newUser	5	1669525223758	1
3A0197C659EC4376B42DB468BAC93BF228451114B2B72A8EFE0685B1B7C76A3F	earnedIn	5	1673386315223	1
91E504265F16388DB0B4CDFD90A1C1D3725D34316DA490421C198FE030F9B8C0	newUser	5	1673386315223	1
51798FA478251F9B91CD88B0E8AE1FC3D016786A7FF45F53EF549AA2D3C46B9B	newUser	5	1671507781247	1
00D3C8D8234C22F570164A6BB475CEA7F086CA09AA610225F0A71FAEBC633E9D	newUser	5	1673386315223	1
66F79F1ECE50A7EDC7B307A9C185498DF3929590C33CED9F4B0FEDB06A1143AA	newUser	5	1667607393181	1
A8DC1B260BE98DEB0834FB0C71DC98CFBD53F4CF7C17BC5A510E1BEAE42ED91A	newUser	5	1673386315223	1
B0E4216A3ECF33D4E6118AD291EC8C6553FD95E9C76ABC3EE023D140248363E4	newUser	5	1673386315223	1
7100140F53120B70D5AFE5A2C00C4C4FF534DC4D8D985EDD2474A69470646575	newUser	5	1673386315223	1
F6DAF7697A9FEFBA38E8323DA084B20DDF7200D40A6CFE6BD0AF7315ACDCD25A	newUser	5	1676163698091	1
B10811C5A62BEDF088D8F261104C65096E050E3536931B9B81E9346EF8E620CA	newUser	5	1673386315223	1
842C29C65692CEB043F15CB743941884FA69D1E24825D299DECDFDBAD95B1533	newUser	5	1673386315223	1
5E3A1D14ACAE7E3450C829A18AB76DEE2CE0A4670F4A793D230C9387284CC4F7	newUser	5	1673386315223	1
E86EEDEA6C668A66775F4823D5B9B4A57E8F04F7437A409CC5861A499E8DD1B5	newUser	5	1673386315223	1
3DB10A540F0C77A6C8D3C0B58185CF37CCD2DB3C5F46A3718E0C7FF216C2CC86	newUser	5	1673386315223	1
6FDA68739CCBC52120DB7352A90A324D7A6B7ACF7AA80201D972667847BF4A71	newUser	5	1673386315223	1
